"genus","species","taxon"
"Acaryophrya","Acaryophrya collaris","Ciliophora"
"Acaryophrya","Acaryophrya mamillata","Ciliophora"
"Balanophrya","Balanophrya collaris","Ciliophora"
"Holophrya","Holophrya collaris","Ciliophora"
"Acineta","Acineta sp","Ciliophora"
"Acineta","Acineta amphiasci","Ciliophora"
"Acineta","Acineta compressa","Ciliophora"
"Acineta","Acineta cucullus","Ciliophora"
"Acineta","Acineta papilifera","Ciliophora"
"Acineta","Acineta foetida","Ciliophora"
"Acineta","Acineta laomedeae","Ciliophora"
"Acineta","Acineta pyriformis","Ciliophora"
"Acineta","Acineta schulzi","Ciliophora"
"Acineta","Acineta sulcata","Ciliophora"
"Acineta","Acineta benesaepta","Ciliophora"
"Acineta","Acineta tuberosa","Ciliophora"
"Amphileptus","Amphileptus inquieta","Ciliophora"
"Amphileptus","Amphileptus pleurosigma","Ciliophora"
"Hemiophrys","Hemiophrys pleurosigma","Ciliophora"
"Litonotus","Litonotus pleurosigma","Ciliophora"
"Amphileptus","Amphileptus trachelioides","Ciliophora"
"Amphisiella","Amphisiella annulata","Ciliophora"
"Holosticha","Holosticha annulata","Ciliophora"
"Amphisiella","Amphisiella marioni","Ciliophora"
"Amphisiella","Amphisiella milnei","Ciliophora"
"Amphisiella","Amphisiella oblonga","Ciliophora"
"Tetrastyla","Tetrastyla oblonga","Ciliophora"
"Amphorella","Amphorella sp","Ciliophora"
"Amphorides","Amphorides quadrilineata","Ciliophora"
"Tintinnus","Tintinnus quadrilineatus","Ciliophora"
"Anigsteinia","Anigsteinia longissima","Ciliophora"
"Anigsteinia","Anigsteinia salinaria","Ciliophora"
"Anophrys","Anophrys sarcophaga","Ciliophora"
"Anteholosticha","Anteholosticha arenicola","Ciliophora"
"Holosticha","Holosticha arenicola","Ciliophora"
"Biholosticha","Biholosticha arenicola","Ciliophora"
"Anteholosticha","Anteholosticha fasciola","Ciliophora"
"Holosticha","Holosticha fasciola","Ciliophora"
"Anteholosticha","Anteholosticha grisea","Ciliophora"
"Holosticha","Holosticha grisea","Ciliophora"
"Anteholosticha","Anteholosticha manca","Ciliophora"
"Holosticha","Holosticha manca","Ciliophora"
"Anteholosticha","Anteholosticha monilata","Ciliophora"
"Holosticha","Holosticha extensa","Ciliophora"
"Holosticha","Holosticha monilata","Ciliophora"
"Keronopsis","Keronopsis monilata","Ciliophora"
"Anteholosticha","Anteholosticha multistilata","Ciliophora"
"Keronopsis","Keronopsis multistilata","Ciliophora"
"Holosticha","Holosticha multistilata","Ciliophora"
"Anteholosticha","Anteholosticha pulchra","Ciliophora"
"Keronopsis","Keronopsis pulchra","Ciliophora"
"Anteholosticha","Anteholosticha scutellum","Ciliophora"
"Holosticha","Holosticha scutellum","Ciliophora"
"Anteholosticha","Anteholosticha violaceae","Ciliophora"
"Holosticha","Holosticha violacea","Ciliophora"
"Apiosoma","Apiosoma sp","Ciliophora"
"Aristerostoma","Aristerostoma marinum","Ciliophora"
"Ascobius","Ascobius simplex","Ciliophora"
"Semifolliculina","Semifolliculina simplex","Ciliophora"
"Askenasia","Askenasia sp","Ciliophora"
"Askenasia","Askenasia stellaris","Ciliophora"
"Aspidisca","Aspidisca sp","Ciliophora"
"Aspidisca","Aspidisca aculeata","Ciliophora"
"Aspidisca","Aspidisca aculeata","Ciliophora"
"Aspidisca","Aspidisca angulata","Ciliophora"
"Aspidisca","Aspidisca binucleata","Ciliophora"
"Aspidisca","Aspidisca cicada","Ciliophora"
"Aspidisca","Aspidisca sulcata","Ciliophora"
"Coccudina","Coccudina costata","Ciliophora"
"Trichoda","Trichoda cicada","Ciliophora"
"Aspidisca","Aspidisca dentata","Ciliophora"
"Aspidisca","Aspidisca fusca","Ciliophora"
"Aspidisca","Aspidisca irinae","Ciliophora"
